"karyotype","count","fitness","is_peak"
"0.3.1.4.5.2.0.5.3.1.5.3.0.1.1.4.3.2.1.7.4.4",203,0.321691268491065,FALSE
"1.3.5.0.4.0.2.7.2.2.7.2.5.1.0.2.2.0.0.7.3.5",205,0.354517476913176,FALSE
"1.0.2.0.5.4.4.6.0.5.5.3.5.4.0.2.0.0.1.5.2.1",1,0.343707806670737,FALSE
"0.2.2.1.5.0.2.7.3.2.6.3.5.0.1.1.2.0.1.6.2.5",206,0.302852518711792,FALSE
"0.1.4.0.5.4.5.7.0.2.6.4.4.2.0.1.1.0.1.7.5.1",200,0.237088214755129,FALSE
"0.2.0.2.5.4.2.3.0.5.5.4.6.5.0.4.3.0.4.4.0.3",201,0.412256600788954,FALSE
"0.2.4.0.5.2.4.7.2.1.6.5.2.2.0.1.2.0.0.7.5.2",208,0.409243375204594,FALSE
"0.2.5.0.5.1.3.7.1.2.5.5.4.3.0.0.1.0.0.7.4.2",205,0.446146005418362,FALSE
"0.4.1.2.4.1.0.5.3.1.6.3.1.1.0.2.1.4.0.6.5.4",1,0.213980886163207,FALSE
"1.2.2.0.5.0.3.7.3.2.7.2.5.0.0.2.2.0.1.5.2.5",208,0.323401777635506,FALSE
"0.4.4.2.4.1.0.7.1.3.5.4.3.0.0.4.2.4.0.7.3.5",201,0.045698347586379,FALSE
"0.4.4.0.4.0.0.7.2.3.7.3.4.0.1.4.2.4.0.7.1.4",1,0.276287253071506,FALSE
"0.0.1.5.5.2.2.1.0.4.3.5.5.5.3.2.3.4.3.4.0.3",1,0.684220101830177,FALSE
"0.2.3.0.5.0.3.8.4.2.6.3.5.1.0.1.2.2.1.6.3.4",203,0.382451249108584,FALSE
"0.3.4.0.3.0.0.8.2.3.8.3.4.0.0.3.2.4.0.7.2.5",202,0.10814649421823,FALSE
"0.3.4.0.5.1.4.6.2.2.4.3.4.3.1.0.3.2.0.6.4.4",202,0.0606841675762387,FALSE
"0.0.1.0.3.4.4.5.0.3.6.4.5.3.0.3.4.0.4.7.0.3",206,0.493983462066664,FALSE
"0.4.1.2.4.2.0.5.3.1.6.3.1.1.0.2.1.4.0.6.5.4",201,0.213946095869817,FALSE
"1.0.2.1.4.4.3.6.0.5.6.3.4.4.0.3.1.0.5.3.0.1",204,0.23893291645576,FALSE
"1.2.4.1.4.1.4.8.3.1.5.2.5.1.0.0.1.2.0.6.3.4",1,0.281695490137724,FALSE
"0.2.4.0.5.2.4.7.1.2.4.5.4.2.1.0.2.1.0.5.5.2",205,0.166922831782317,FALSE
"1.3.4.1.5.1.4.7.3.1.4.2.4.2.1.0.2.2.0.7.3.4",206,0.3278346770709,FALSE
"0.0.1.5.5.2.2.1.2.4.3.5.5.5.3.2.3.4.1.4.0.3",1,0.450176248080457,FALSE
"1.1.2.0.5.4.3.6.0.4.5.3.5.4.0.3.1.1.3.4.2.1",204,0.521160470860081,FALSE
"1.3.2.1.5.1.0.6.3.0.6.3.1.2.0.2.1.4.1.6.4.4",207,0.363878406062171,FALSE
"0.2.4.0.5.4.4.7.1.2.5.3.4.3.0.3.1.0.1.7.4.1",205,0.296351426222347,FALSE
"0.3.1.4.4.2.0.5.3.1.5.3.0.1.1.4.3.2.1.7.4.4",1,0.270644632112567,FALSE
"1.2.3.1.4.2.3.6.3.1.6.3.6.1.0.0.1.2.1.6.3.4",204,0.239354656091849,FALSE
"0.2.3.1.5.0.2.7.3.2.6.3.5.0.1.1.2.0.1.6.2.5",1,0.248254488063634,FALSE
"0.1.3.0.4.3.5.7.1.3.5.3.4.3.0.3.1.0.0.7.4.1",201,0.0888334306404723,FALSE
"1.3.5.1.5.1.4.7.3.1.4.2.4.2.1.0.1.2.0.7.3.4",1,0.453637537033853,FALSE
"2.0.2.0.4.3.4.6.1.5.5.4.5.4.0.3.0.0.0.5.2.1",207,0.27016984332998,FALSE
"0.0.3.4.4.1.5.1.2.4.5.5.4.3.3.1.3.5.1.4.0.3",1,0.387073717667638,FALSE
"1.2.4.0.5.1.2.7.2.2.8.2.5.2.0.2.2.0.0.5.1.5",202,0.337697830011582,FALSE
"0.0.0.5.5.3.0.2.0.5.3.5.5.5.3.3.3.2.4.4.0.4",1,0.443040441732564,FALSE
"0.0.2.5.4.1.5.1.1.4.4.5.6.5.3.1.3.5.1.3.0.3",1,0.428979173125934,FALSE
"0.1.1.1.5.4.2.4.0.5.4.4.6.5.0.2.5.0.4.5.0.2",205,0.358089537369855,FALSE
"0.1.1.1.4.4.3.4.0.5.5.4.6.5.0.3.5.0.3.4.0.2",204,0.404766533399557,FALSE
"0.2.4.0.5.3.4.7.0.1.7.5.4.2.0.1.2.0.0.7.5.2",200,0.0580128862124288,FALSE
"0.1.2.5.3.1.3.1.1.5.5.5.5.5.3.1.3.4.2.3.1.3",203,0.29141411529246,FALSE
"0.1.2.0.4.5.3.5.0.5.3.4.7.5.0.2.4.0.3.6.0.3",213,0.502544390554982,FALSE
"0.3.4.0.4.0.0.7.2.2.8.3.5.0.0.3.2.0.1.7.4.5",202,0.325688708031206,FALSE
"0.1.3.0.4.3.5.6.2.4.4.4.5.4.0.3.0.1.0.5.3.1",206,0.356268848231364,FALSE
"0.2.0.3.4.4.1.4.0.5.4.3.6.5.2.4.3.1.4.3.0.3",205,0.559352329464984,FALSE
"1.2.4.0.5.1.2.7.2.2.8.2.5.2.0.2.2.0.0.5.1.4",1,0.286676095906793,FALSE
"0.0.2.5.4.1.5.1.1.4.5.4.6.5.3.1.3.5.1.3.0.3",1,0.496230703958942,FALSE
"0.1.2.0.5.4.3.5.0.4.5.4.7.4.0.3.3.0.4.7.0.3",1,0.706165285541041,FALSE
"0.4.1.3.4.3.0.5.3.1.5.3.0.1.0.2.2.4.0.6.5.4",205,0.178195207572647,FALSE
"0.2.1.1.5.0.2.7.3.2.6.3.5.0.1.1.2.0.1.6.2.5",1,0.31125361069517,FALSE
"2.3.2.0.5.1.0.7.2.2.5.3.3.3.0.2.2.4.0.6.3.5",207,0.223241697978434,FALSE
"0.1.2.0.5.4.3.5.0.4.5.4.7.4.0.3.3.0.4.5.0.3",1,0.622980981025019,FALSE
"0.1.0.3.4.3.0.2.0.5.3.4.6.5.3.4.3.2.3.3.0.4",203,0.206383690179531,FALSE
"0.1.4.0.4.3.5.6.2.4.4.4.5.4.0.3.0.1.0.5.3.1",1,0.207163311580898,FALSE
"2.0.0.0.4.4.4.6.1.4.6.4.6.4.0.3.4.0.4.5.0.2",210,0.515931410418901,FALSE
"0.2.5.0.5.1.3.6.1.2.5.5.4.4.0.0.1.0.0.7.4.2",1,0.434065418540391,FALSE
"0.0.2.5.4.1.5.1.1.5.5.5.6.5.3.1.3.5.1.3.0.3",1,0.373780687346183,FALSE
"0.0.1.5.5.2.2.1.1.4.3.5.5.5.3.2.3.4.2.4.0.3",207,0.63956558122418,FALSE
"0.2.3.2.3.1.4.1.2.5.5.5.5.2.2.2.1.5.1.4.1.3",205,0.307369071234364,FALSE
"0.0.3.4.4.1.5.1.2.4.5.5.5.3.3.1.3.5.1.4.0.3",209,0.338085944067007,FALSE
"0.3.1.4.5.2.0.5.2.1.5.3.0.1.1.4.3.2.1.7.4.4",1,0.294925368495882,FALSE
"0.1.4.0.5.4.5.6.0.2.6.4.4.2.0.1.1.0.1.7.5.1",1,0.260205088078687,FALSE
"0.2.0.2.5.4.2.3.0.5.5.4.6.5.0.4.3.0.3.4.0.3",1,0.456438100047335,FALSE
"1.2.4.1.4.1.4.6.3.1.5.2.5.1.0.0.1.2.0.6.3.4",1,0.521553459405348,FALSE
"0.2.0.2.5.4.2.3.0.5.5.3.6.5.0.4.3.0.4.4.0.3",1,0.493537154142888,FALSE
"1.0.2.0.5.4.5.6.0.5.5.3.5.4.0.2.0.0.1.5.2.1",204,0.263213360380407,FALSE
"1.2.4.1.4.1.3.7.3.1.5.2.5.1.0.0.1.2.0.6.3.4",1,0.317117739801185,FALSE
"0.2.5.0.5.1.3.8.1.2.5.5.4.2.0.0.1.0.0.7.4.2",1,0.309412152063383,FALSE
"0.0.3.4.4.1.5.1.2.4.5.5.6.3.3.1.3.5.1.4.0.3",1,0.248071635080709,FALSE
"0.0.0.5.5.3.0.2.0.5.3.5.5.5.3.3.3.2.3.4.0.4",201,0.33447775326782,FALSE
"1.2.4.1.4.1.4.7.3.1.5.2.5.1.0.0.1.2.0.6.3.4",202,0.416786939587937,FALSE
"0.0.1.5.5.2.2.1.1.4.2.5.5.5.3.2.3.4.2.4.0.3",1,0.546500611196903,FALSE
"0.0.1.0.3.4.4.6.0.3.6.4.5.3.0.3.4.0.4.7.0.3",1,0.35246796381703,FALSE
"0.2.3.0.4.0.3.8.4.2.6.3.5.1.0.1.2.2.1.6.3.4",1,0.412140734665018,FALSE
"0.1.2.0.5.4.3.5.0.4.5.4.7.4.0.3.4.0.4.6.0.3",1,0.615682500417523,FALSE
"0.3.1.4.5.2.0.5.4.1.5.3.0.1.1.4.3.2.1.7.4.4",1,0.299726705874852,FALSE
"2.0.2.0.4.3.4.6.1.5.5.4.5.4.0.3.0.0.0.6.2.1",1,0.18351516803726,FALSE
"0.0.2.5.4.1.5.1.1.3.5.5.6.5.3.1.3.5.1.3.0.3",1,0.378066236885955,FALSE
"0.2.0.2.5.4.2.3.0.5.5.5.6.5.0.4.3.0.4.4.0.3",1,0.320950136391187,FALSE
"0.2.5.0.5.2.4.7.1.2.4.5.4.2.1.0.3.1.0.6.5.2",203,0.209502638634269,FALSE
